,order.id,order.line,order.date,customer.id,product.id,quantity
1,1,1,1/7/2011,2,48,1
2,1,2,1/7/2011,2,52,1
3,2,1,1/10/2011,10,76,1
4,2,2,1/10/2011,10,52,1
5,3,1,1/10/2011,6,2,1
6,3,2,1/10/2011,6,50,1
7,3,3,1/10/2011,6,1,1
8,3,4,1/10/2011,6,4,1
9,3,5,1/10/2011,6,34,1
10,4,1,1/11/2011,22,26,1
11,5,1,1/11/2011,8,96,1
12,5,2,1/11/2011,8,66,2
13,5,3,1/11/2011,8,35,1
14,5,4,1/11/2011,8,72,1
15,6,1,1/11/2011,16,45,1
16,6,2,1/11/2011,16,39,1
17,6,3,1/11/2011,16,87,1
18,6,4,1/11/2011,16,31,1
19,7,1,1/12/2011,9,2,1
20,7,2,1/12/2011,9,15,1
21,7,3,1/12/2011,9,10,1
22,7,4,1/12/2011,9,65,1
23,7,5,1/12/2011,9,87,1
24,7,6,1/12/2011,9,55,1
25,7,7,1/12/2011,9,7,1
26,7,8,1/12/2011,9,67,1
27,7,9,1/12/2011,9,61,1
28,7,10,1/12/2011,9,18,2
29,7,11,1/12/2011,9,96,1
30,7,12,1/12/2011,9,42,1
31,7,13,1/12/2011,9,56,1
32,7,14,1/12/2011,9,93,2
33,8,1,1/12/2011,16,35,1
34,8,2,1/12/2011,16,96,3
35,9,1,1/17/2011,25,29,1
36,9,2,1/17/2011,25,13,2
37,9,3,1/17/2011,25,18,1
38,9,4,1/17/2011,25,16,1
39,9,5,1/17/2011,25,36,5
40,10,1,1/17/2011,20,19,1
41,11,1,1/18/2011,19,11,1
42,11,2,1/18/2011,19,13,2
43,11,3,1/18/2011,19,10,1
44,11,4,1/18/2011,19,39,1
45,11,5,1/18/2011,19,23,1
46,11,6,1/18/2011,19,65,1
47,11,7,1/18/2011,19,43,1
48,12,1,1/20/2011,6,27,2
49,12,2,1/20/2011,6,49,1
50,12,3,1/20/2011,6,67,1
51,12,4,1/20/2011,6,11,1
52,12,5,1/20/2011,6,26,1
53,12,6,1/20/2011,6,39,1
54,12,7,1/20/2011,6,28,1
55,12,8,1/20/2011,6,32,1
56,12,9,1/20/2011,6,22,1
57,12,10,1/20/2011,6,13,1
58,12,11,1/20/2011,6,29,1
59,12,12,1/20/2011,6,63,1
60,12,13,1/20/2011,6,31,1
61,12,14,1/20/2011,6,15,1
62,12,15,1/20/2011,6,40,1
63,12,16,1/20/2011,6,10,3
64,12,17,1/20/2011,6,37,1
65,12,18,1/20/2011,6,8,1
66,12,19,1/20/2011,6,57,1
67,13,1,1/20/2011,7,4,1
68,13,2,1/20/2011,7,18,1
69,14,1,1/24/2011,14,87,1
70,14,2,1/24/2011,14,76,1
71,14,3,1/24/2011,14,69,1
72,15,1,1/25/2011,13,3,1
73,15,2,1/25/2011,13,35,1
74,15,3,1/25/2011,13,65,3
75,15,4,1/25/2011,13,5,1
76,15,5,1/25/2011,13,19,1
77,15,6,1/25/2011,13,84,2
78,15,7,1/25/2011,13,90,1
