,model,category1,category2,frame,price
0,Bad Habit 1,Mountain,Trail,Aluminum,3200.0
7,CAAD12 Black Inc,Road,Elite Road,Aluminum,5860.0
2,Beast of the East 1,Mountain,Trail,Aluminum,2770.0
10,CAAD12 Red,Road,Elite Road,Aluminum,3200.0
12,CAAD8 105,Road,Elite Road,Aluminum,1410.0
5,CAAD Disc Ultegra,Road,Elite Road,Aluminum,2660.0
11,CAAD12 Ultegra,Road,Elite Road,Aluminum,2240.0
14,CAAD8 Sora,Road,Elite Road,Aluminum,1030.0
6,CAAD12 105,Road,Elite Road,Aluminum,1680.0
8,CAAD12 Disc 105,Road,Elite Road,Aluminum,1950.0
