,model,category1,category2,frame,price
87,Synapse Sora,Road,Endurance Road,Aluminum,1030.0
61,SuperX Ultegra,Road,Cyclocross,Carbon,2450.0
57,Slice Ultegra D12,Road,Triathalon,Carbon,3200.0
12,CAAD8 105,Road,Elite Road,Aluminum,1410.0
69,Supersix Evo Tiagra,Road,Elite Road,Carbon,1840.0
82,Synapse Disc Tiagra,Road,Endurance Road,Aluminum,1250.0
56,Slice Ultegra,Road,Triathalon,Carbon,2700.0
73,Synapse Carbon 105,Road,Endurance Road,Carbon,2240.0
74,Synapse Carbon Disc 105,Road,Endurance Road,Carbon,2660.0
80,Synapse Disc 105,Road,Endurance Road,Aluminum,1570.0
